data_point,predicted,difference,hit,
12.2,11.0643,1.13572,1,
13.3,10.3175,2.98246,0,
12.8,11.8192,0.980832,1,
13.9,11.6891,2.21091,0,
14.4,11.8864,2.51363,0,
14.4,12.9315,1.46854,0,
16.7,12.7086,3.99144,0,
16.7,13.5485,3.15152,0,
15,14.0077,0.992273,1,
14,12.6271,1.37288,1,
13.9,11.1927,2.70735,0,
13.3,11.9832,1.3168,1,
12.8,11.6426,1.15744,1,
13.3,10.5931,2.7069,0,
12.2,11.799,0.400972,1,
12.2,11.5671,0.632851,1,
12.2,10.6241,1.57595,0,
11.7,11.2367,0.46328,1,
12.2,10.946,1.25397,0,
12.2,11.045,1.15504,1,
11.7,10.9068,0.793208,1,
10,10.2267,0.226672,1,
10,10.033,0.0330248,1,
10,9.70065,0.299346,1,
11.7,9.58395,2.11605,0,
12.2,10.7389,1.46111,0,
12,11.7032,0.296779,1,
11.7,11.18,0.519952,1,
11.7,10.6147,1.08529,1,
12,10.2126,1.78742,0,
12,10.9555,1.04451,1,
12.8,10.9256,1.87444,0,
12.8,11.3255,1.4745,0,
12.8,12.0722,0.727822,1,
12,11.3362,0.663804,1,
11.7,10.6933,1.00667,1,
12,10.2282,1.77184,0,
11.7,10.9466,0.753428,1,
12.2,10.9038,1.29624,0,
13.9,10.9944,2.90559,0,
15.6,12.439,3.16096,0,
15.6,13.3571,2.24286,0,
13.3,13.4708,0.17085,1,
12.8,12.2932,0.506787,1,
12.2,11.075,1.12496,1,
12.2,10.4615,1.73849,0,
12.2,10.9715,1.22854,0,
12.2,11.576,0.62404,1,
12.2,11.0031,1.1969,1,
11.7,10.4674,1.23259,0,
10,10.8247,0.824724,1,
10.6,10.6711,0.0711432,1,
10,10.1238,0.12382,1,
10,9.93826,0.0617447,1,
9.4,9.66047,0.260472,1,
9.4,9.54858,0.148577,1,
10,9.41886,0.581137,1,
8.9,9.36175,0.46175,1,
8.9,9.30357,0.403571,1,
9,9.27641,0.276413,1,
10,9.25091,0.749092,1,
10.6,9.23849,1.36151,0,
11.1,10.1031,0.99688,1,
11.1,10.269,0.831017,1,
11.7,9.88103,1.81897,0,
12.2,10.9119,1.28814,0,
12,11.5912,0.408766,1,
11.7,11.1178,0.582185,1,
11,10.5407,0.459311,1,
11,10.1719,0.828074,1,
11,9.85131,1.14869,0,
10.6,10.37,0.230019,1,
11,10.3558,0.644229,1,
10.6,9.93437,0.665629,1,
12,9.81582,2.18418,0,
13,10.9152,2.08475,0,
13.3,12.1442,1.15583,1,
13.3,11.5944,1.70562,0,
12.8,11.7433,1.0567,1,
12.8,11.4387,1.36131,0,
12.8,11.2967,1.50334,0,
12.8,11.9248,0.875224,1,
12.2,11.2559,0.944077,1,
11.1,10.5976,0.502434,1,
11.1,10.1763,0.923667,1,
11.1,9.84096,1.25904,0,
10.6,10.4182,0.18182,1,
10.6,10.4172,0.182817,1,
9.4,9.96589,0.565886,1,
9.4,9.84611,0.446112,1,
9.4,9.60606,0.206063,1,
9.4,9.51852,0.118524,1,
8.9,9.40202,0.50202,1,
10,9.35313,0.646874,1,
9.4,9.29914,0.100855,1,
10,9.2745,0.725495,1,
10.6,9.25016,1.34984,0,
11,10.106,0.893952,1,
